user_id,product_id
53978,5651977
53980,5877766
53982,7789
53985,5650605
53986,5692527
53987,5877385
53989,5823667
53990,5751383
53992,5823769
53993,5892522
53995,5823935
53998,8107
54001,5697545
54003,5760789
54004,5622687
54005,5812118
54006,5823663
54007,5649236
54008,5861724
54011,4229
54013,5753702
54020,5724232
54021,5770025
54024,5888350
54025,5840231
54028,5812923
54030,5744388
54035,5826000
54040,5836519
54042,5587750
54043,5742722
54046,5715617
54048,5809669
54049,5788783
54050,4119
54051,5809912
54056,5582544
54057,5831649
54059,5916
54061,5856935
54064,5823937
54066,5849033
54070,5834356
54071,5887023
54072,5665855
54073,5723265
54075,4497
54078,5815730
54079,5882570
54081,5785144
54082,5841297
54084,5733585
54085,5678117
54087,5884349
54090,5829286
54092,5746011
54093,5883104
54096,5870375
54097,5730212
54100,5836522
54101,5650628
54102,5812049
54103,5823778
54104,5836514
54105,5766390
54106,5878151
54107,5649236
54111,5769942
54112,5867188
54117,5880197
54118,5858314
54119,5861760
54121,5801027
54123,5854380
54126,5810144
54127,5788423
54134,5784897
54136,5820089
54139,5892179
54140,5797965
54142,5620510
54143,5815730
54144,5866393
54145,5587756
54146,5865752
54147,5619864
54149,5833334
54150,5809729
54151,5686080
54155,5815662
54156,5773605
54157,5797795
54158,5877454
54159,5821225
54160,5686808
54161,5649236
54162,5619728
54163,5809912
54164,5787194
54165,5886710
54167,5828610
54169,5724607
54170,5022
54171,5769929
54174,5661283
54175,5703723
54176,5873063
54178,5687159
54180,5598320
54182,5760338
54183,5868895
54184,5773210
54187,5711035
54188,5771953
54190,5836518
54191,5754148
54192,5765145
54193,5847441
54194,5844155
54196,5849701
54197,5850934
54198,5886475
54199,5760772
54200,5826266
54201,5816652
54202,5823667
54204,5841190
54206,5622689
54208,5812118
54210,5810673
54211,5877451
54213,5619865
54215,5882788
54219,5886282
54223,5688840
54224,5870111
54225,5839717
54226,5810037
54227,5808567
54228,5677043
54229,5829789
54231,5655060
54234,5883831
54235,5849033
54236,5849033
54238,5854808
54240,5655060
54241,5889690
54242,5789668
54243,5864818
54244,5849717
54247,6817
54250,5813069
54252,5793704
54254,5723509
54256,5831649
54257,5759180
54258,5848088
54259,5843786
54260,5804268
54261,5700075
54264,5861721
54266,5689128
54267,5823935
54269,5800839
54270,5723492
54271,5861761
54273,5884282
54274,5805912
54281,5774248
54284,5885376
54286,5859416
54288,4965
54291,5846096
54292,5846096
54294,5885149
54297,5838655
54303,5526
54304,5723523
54306,5875278
54307,5671073
54308,5649219
54310,5862154
54311,5801436
54313,5858981
54314,5649270
54315,5888346
54317,36406
54318,5861277
54322,5862566
54323,5563596
54324,5842670
54330,5784997
54331,5774248
54332,5751383
54333,5723513
54335,5751742
54336,5833322
54337,5792800
54341,5693528
54347,5564560
54350,5697545
54353,5814526
54354,5550120
54360,5766316
54361,5886282
54362,5585656
54364,5766595
54365,5892544
54366,5847369
54368,5748205
54369,5528035
54370,5649270
54371,5787242
54372,5739055
54373,5858655
54375,5788435
54377,5766377
54379,5684581
54381,5814046
54383,59974
54385,5810043
54386,5842659
54391,5649236
54392,5850570
54393,5700067
54394,5872978
54395,5849033
54398,5839058
54399,5861279
54402,5565282
54404,5856186
54405,5809108
54406,5526
54408,5708350
54409,5837465
54415,5734590
54416,5766595
54417,5770135
54418,5833334
54420,5846437
54421,59002
54425,5844900
66776,6817
66778,5732028
66779,5798929
66780,5875273
66783,5809910
66784,5645160
66786,5835150
66787,5833331
66789,5750301
66792,5595912
66793,5587648
66795,5862743
66796,5850303
66797,5629988
66798,5888554
66799,5889100
66802,5884037
66803,5841037
66804,5858535
66805,5700037
66806,5825475
66808,5775987
66809,5889464
66810,5861764
66811,5877456
66812,5597376
66813,5655023
66815,5766980
66816,5817781
66817,5730207
66819,5866960
66820,5830937
66821,5700037
66822,5863096
66825,5697070
66828,5892179
66830,3928
66831,37987
66833,5724230
66835,5700037
66838,5841190
66842,5739493
66843,5875513
66846,5891919
66847,5826617
66849,5866960
66852,5844670
66853,5770041
66856,5771955
66857,5764715
66864,5763379
66865,5844390
66866,5677055
66868,6940
66869,5773350
66871,5649302
66873,5820776
66875,4940
66876,5804462
66877,5734580
66884,5843748
66885,34774
66886,5610080
66889,5827480
66891,5837626
66892,5858347
66893,26757
66894,5780830
66895,5861591
66897,5622683
66898,5682507
66899,5822651
66900,5890162
66903,5817161
66906,5854899
66908,5643943
66910,5763379
66912,5863880
66916,5778323
66917,5812957
66920,5797965
66924,5810145
66926,5853567
66930,5651986
66931,5700487
66932,5677987
66935,5838083
66936,5594592
66937,5696146
66942,5843306
66945,5730207
66951,5844894
66952,5862572
66956,5781044
66957,5857271
66958,5859480
66960,5820746
66964,5699795
66965,5651938
66966,3774
66967,5560756
66970,5881332
66975,5802449
66976,5816171
66978,5850466
66979,5712698
66980,5645768
66981,5688034
66982,5868798
66987,5714908
66988,5650160
66994,5793261
67000,5857958
67001,5670334
67002,5846810
67003,5858345
67004,34765
67005,5834731
67006,5891173
67010,5820286
67014,5676286
67015,5802162
67016,5774342
67017,5749386
67019,5802727
67021,88054
67022,5699806
67023,5881721
67025,5588152
67029,5790689
67031,6642
67032,5816166
67034,5814049
67035,5846451
67036,5594488
67039,5729897
67040,5649740
67043,5861761
67044,5779820
67048,5861761
67050,5861761
67051,5711027
67052,5875295
67054,5842141
67056,5723493
67061,5794153
67062,5809912
67063,5652774
67065,5549838
67071,5814046
67074,5696173
67077,5767950
67080,5804464
67081,5683377
67086,15765
67087,5793261
67094,5858505
67095,5809910
67098,5789896
67099,5885389
67101,5816170
67103,5880548
67104,5788133
67107,5723522
67108,5692827
67109,8700
67115,5714121
67116,5839058
67117,5838088
67121,5564536
67124,5700218
67126,5825547
67127,5823646
67128,5664161
67129,5888350
67130,5855125
67132,5786311
67133,5861731
67134,5692527
67138,5697533
67141,5792800
67142,5792800
67143,5697446
67144,5841834
67148,5836522
67152,5853322
67158,5769934
67160,6377
67162,5885120
67164,5692279
67165,5813880
67166,5799895
67168,5793261
67170,5886553
67172,5809616
67175,5892349
67176,5750294
67181,5674484
67182,5809912
67186,5760173
67187,5682470
67188,5764715
67189,5811869
67190,5727536
67191,5757945
67192,5864612
67194,5814175
67201,5868475
67206,5814541
67207,5651975
67208,5591314
67216,5677989
67217,5827008
67218,5664161
67221,6730
67222,5745826
67228,5773606
67229,5774248
67232,5692890
67234,5809803
67240,5815660
67246,5780927
67248,5649236
67249,5843792
67252,5853536
67254,5678314
67255,5774072
67256,5885389
67257,5622672
67262,5809728
67264,5687529
67267,5735267
67272,5843749
67275,5709052
67276,5844894
67277,5853235
67279,5849033
67282,5868476
67283,5772165
67285,5801973
67286,5683743
67287,5841337
67292,5749720
67294,5877089
67301,5841324
67306,5796098
67308,5809912
67311,5846821
67313,5760791
67314,5886802
67315,5571134
67316,5696316
67319,5859416
67321,5585656
67322,5856189
67323,5851884
67324,5861725
67327,5844318
67330,5814046
67332,5569506
67333,5815662
67335,5700046
67336,5861590
67338,5819140
67343,5649270
67346,5723409
67348,5857958
67349,5807828
67351,5799895
67354,5839181
67356,5691024
67357,5677043
67362,5596058
67363,5759180
67367,5686080
67369,5882757
67370,5775517
67372,5890158
67376,5842141
67379,5769924
67385,5883306
67386,5825923
67388,5819114
67389,5813494
67391,5759898
67394,5841731
67395,5810472
67397,5755858
67398,5677604
67400,5842317
67402,5887577
67403,5745712
67406,5739363
67408,5889901
67413,5528034
67414,5408
67415,5866964
67416,5842253
67417,5810145
67420,5688835
67423,5858021
67437,5829707
67440,5849470
67443,5809912
67444,5772465
67445,5855508
67447,5844670
67448,5839238
67449,5760766
67451,5759181
67454,5759279
67455,5670733
67461,5820723
67467,5854319
67469,5870297
